timestamp,node_id,node_name,ax,ay,az,gx,gy,gz,qw,qx,qy,qz,roll,pitch,yaw,rep_number
1767366962.158171,1,left_wrist,1.017,0.3289,-0.246,4.06,7.49,28.56,0.541661831540907,0.41944404819631237,-0.6609440802181928,0.3063038907832656,167.62388743182376,-76.64833852978562,-105.4036521780754,0
1767366962.158171,2,right_wrist,0.9911,-0.3894,-0.3148,-55.44,-4.41,16.59,-0.23494913291410582,0.7685658344324731,0.20390510880944182,0.5590421895415727,-153.28027372601431,-72.77245906021298,9.8639236425137,0
1767366962.2189429,1,left_wrist,1.1068,0.3436,-0.3323,-46.83,-49.07,-101.15,0.5564126190262577,0.4714551758679236,-0.6529642913708663,0.20438358234023696,139.07379175090617,-66.8313190252164,-80.6780626172139,0
1767366962.2189429,2,right_wrist,1.0126,-0.3157,-0.3845,33.11,-36.96,40.67,-0.25486417964721547,0.7793466293278708,0.1999537738780234,0.5363595525391286,-148.19671712601675,-69.7087865863219,6.3355663270713745,0
1767366962.307785,1,left_wrist,1.2322,0.4607,-0.3719,-108.43,-86.1,-178.71,0.5694759671771396,0.5028197350774569,-0.6411447083570259,0.10864115136577776,127.10228371245117,-57.085970345714195,-73.50738327309291,0
1767366962.307785,2,right_wrist,1.1697,-0.5407,-0.5173,118.93,-145.95,165.83,-0.3864106443401367,0.8310721860144948,0.165678009459914,0.3640832772253209,-129.907158273536,-47.15520698978918,-0.504749220894479,0
1767366962.3619158,1,left_wrist,1.2991,0.5539,-0.365,-130.97,-107.17,-227.85,0.576793533487071,0.5330385447180463,-0.6189866445587697,-0.005887565731429028,118.26655159887308,-45.05444521711626,-70.68668300480184,0
1767366962.3619158,2,right_wrist,1.0863,-0.954,-0.4856,-31.22,-157.92,190.33,-0.3948455058760939,0.8688044704231779,0.11593342344883306,0.27538202553831737,-130.76962379680594,-34.75426006061858,-1.1172316916006837,0
1767366962.418276,1,left_wrist,1.2083,0.814,-0.3592,-20.93,-124.25,-285.25,0.5024183437942986,0.6506126565976169,-0.5294652237327809,-0.2096319530786792,114.94052671119174,-15.025426699843495,-68.66115058287619,0
1767366962.418276,2,right_wrist,1.0863,-0.954,-0.4856,-31.22,-157.92,190.33,-0.397319146048224,0.896198916729172,0.06716009479126767,0.18561928645643697,-131.84255037728528,-22.7102819974775,-1.684863019530422,0
1767366962.4696262,1,left_wrist,0.608,0.6095,-0.2684,4.69,-81.41,-259.7,0.45741068549423086,0.6979193182190736,-0.47245327358553413,-0.28367586138167183,114.89037805672153,-2.0771189262640477,-66.86555833947651,0
1767366962.4696262,2,right_wrist,0.7862,-0.9687,-0.5187,-16.45,-163.73,229.53,-0.403607244397626,0.9110476495286255,0.004940624243016142,0.08407712406006122,-131.94160449240312,-9.04352234288806,-3.417251990570381,0
1767366962.519733,1,left_wrist,0.4324,0.7715,-0.2225,48.44,-69.86,-229.25,0.4003501799548153,0.7406240230544878,-0.42163259951452503,-0.33678144383465797,117.29666264625789,9.27977635999698,-64.96661574270342,0
1767366962.519733,2,right_wrist,0.3728,-0.9379,-0.3777,138.46,-141.19,249.9,-0.465838823344202,0.8824661033881278,-0.06349951947876616,-0.014682576825250359,-124.58408471610586,4.880328220923365,-5.66724822362759,0
1767366962.572895,1,left_wrist,0.4324,0.7715,-0.2225,48.44,-69.86,-229.25,0.338930819675239,0.7756057099607329,-0.36642175007810013,-0.3863894191360328,120.24535760161605,20.547783904162664,-62.465188204040366,0
1767366962.572895,2,right_wrist,0.1962,-0.7862,-0.2777,43.33,-93.87,234.64,-0.4828949551876214,0.8603769279716466,-0.13293485390565846,-0.09429914467002483,-122.62338599750939,16.897039694144052,-8.272821209825528,0
1767366962.65972,1,left_wrist,0.0932,0.6564,-0.263,17.43,-50.89,-200.97,0.29297716228345005,0.7976064979446064,-0.3095889143933209,-0.4267821000248752,122.38580882648142,29.960536387072857,-59.168803646613725,0
1767366962.65972,2,right_wrist,-0.0454,-0.3333,-0.2098,-22.54,-62.3,198.1,-0.45072560082687974,0.830373018196532,-0.24612940317223547,-0.21621147126022117,-127.91833226917704,35.517106088197316,-15.232647314575312,0
1767366962.7169201,1,left_wrist,-0.1728,0.3436,-0.2474,-28.49,-35.84,-178.64,0.26513023911743094,0.809767005860506,-0.24832656705586623,-0.4607789802274987,123.4455687930267,37.920643592557646,-55.038982933631544,0
1767366962.7169201,2,right_wrist,-0.2577,-0.1059,-0.2396,-52.92,-47.67,143.08,-0.4183723364362336,0.8194399126528755,-0.2851337651734727,-0.2686662494887174,-133.51639035615963,42.75742140212632,-19.285103655747243,0
1767366962.7704031,1,left_wrist,-0.5124,0.2835,-0.2752,-15.68,0.7,-28.77,0.25005482962197584,0.8163753133122778,-0.20310417865973962,-0.47932517418549764,124.56584837979632,42.92528799852252,-51.283658944989,0
1767366962.7704031,2,right_wrist,-0.3582,-0.3797,-0.265,4.69,-22.26,86.24,-0.41570240809557957,0.8045668670308205,-0.31003594024334347,-0.2893810293318694,-134.84839797422097,46.33741516095459,-21.969957363764745,0
1767366962.821972,1,left_wrist,-0.5124,0.2835,-0.2752,-15.68,0.7,-28.77,0.2457440075413039,0.8181433473165137,-0.18692548005424772,-0.48508783834039687,125.0037894254008,44.57731946286127,-49.82787517039421,0
1767366962.821972,2,right_wrist,-0.5207,-0.1674,-0.2904,21.91,-11.97,40.39,-0.41742316264338075,0.7924514763490939,-0.32703802652573133,-0.30137134921404585,-135.33181749661293,48.64852122211833,-23.810608551873944,0
1767366962.9081511,1,left_wrist,-0.5436,0.1449,-0.2757,31.5,0.91,30.87,0.2370676429715399,0.8201239112173523,-0.20200805059504284,-0.4799879690161634,126.2189415650029,43.75055683681868,-50.69166283104989,0
1767366962.9081511,2,right_wrist,-0.5046,-0.0991,-0.2679,60.06,11.13,-78.4,-0.4365383188184774,0.7980499010552433,-0.30203172840792364,-0.28517974448367817,-131.0173942433593,45.96144383477046,-19.59146448818268,0
1767366962.961545,1,left_wrist,-0.4738,0.2137,-0.2191,-18.27,22.96,104.23,0.2638236900114938,0.8134556607997083,-0.23038074241220596,-0.46434002845676553,123.7389033995654,39.33698440595521,-53.26264789142834,0
1767366962.961545,2,right_wrist,-0.1835,-0.4719,-0.1532,30.31,69.44,-199.43,-0.4632395825616091,0.8237262159047468,-0.24607414756161042,-0.21524805290924096,-126.03697371897474,35.633163054891604,-14.680131711162026,0
1767366963.019837,1,left_wrist,0.4128,0.9775,-0.368,51.17,82.6,281.82,0.34883487450776895,0.7799853699978504,-0.40854230936655106,-0.3209832306739884,124.3218181312966,12.456412426528717,-61.8865989478069,0
1767366963.019837,2,right_wrist,-0.1835,-0.4719,-0.1532,30.31,69.44,-199.43,-0.48601501638435163,0.841263198611824,-0.18818024734989422,-0.1437144008708031,-122.48803517617478,25.132949533320204,-11.269580367207983,0
1767366963.0741959,1,left_wrist,0.4128,0.9775,-0.368,51.17,82.6,281.82,0.38527292992651074,0.7411299993538599,-0.49634979790300576,-0.23649095467952894,126.26885703212037,-1.8291461140238297,-66.69538996040141,0
1767366963.0741959,2,right_wrist,0.1225,-0.4187,-0.2928,7.0,100.45,-233.38,-0.4915126306253921,0.8608087769241776,-0.12126739864963564,-0.0521325381192857,-121.52963564578731,12.061483391750741,-9.269855594624525,0
1767366963.169169,1,left_wrist,0.7408,1.2259,-0.324,-63.21,97.65,268.59,0.45387092609014523,0.6748824885630352,-0.5563045109930604,-0.17047023238621506,123.44338928336295,-15.955228840330225,-70.37460141619937,0
1767366963.169169,2,right_wrist,1.0194,-0.5958,-0.6017,-32.76,157.92,-238.42,-0.4490119186522147,0.8785685163530123,0.01550380765644423,0.16206569942364743,-124.76975162141136,-17.37920449643153,-7.120426938728226,0
1767366963.2580328,1,left_wrist,1.1126,0.6295,-0.4778,143.15,134.54,271.39,0.45882922130216597,0.5883676078803085,-0.6590843048180796,0.09437787250685505,143.48054592842794,-45.7147118923014,-80.65305660982804,0
1767366963.2580328,2,right_wrist,1.0048,-1.0146,-0.3582,-143.15,117.32,-226.45,-0.33741423050766683,0.8607210857166874,0.12219319445920934,0.3610812552341368,-136.08104712147235,-44.75203479442079,-2.6891975148780665,0
1767366963.313447,1,left_wrist,1.4503,0.8247,-0.3777,-48.58,105.77,169.96,0.5284480574757001,0.45203792901558976,-0.6938500886339154,0.18701982724877914,149.57099716344973,-64.47635911988478,-94.36689412426551,0
1767366963.313447,2,right_wrist,1.2322,-0.7544,-0.3894,6.37,123.55,-208.25,-0.31320326881875216,0.8225930141869179,0.18250126015581739,0.43810699087513816,-139.7604257317273,-56.624948599997666,2.689716426766771,0
1767366963.3647628,1,left_wrist,1.2137,-0.102,-0.3382,1.19,102.34,154.21,0.5444996720226662,0.3933088625167575,-0.6987663722530185,0.246076823047883,163.5524099169906,-72.6545319106753,-109.12079034512435,0
